제목,내용,글_라벨
부정합격자는 초고속 승진한다.,"(1부) 박완수 경남도지사님께 공개질문 
게시자: 권혁철 
연락처: 010-****-7368


※당부말씀: 채용비리 관련자는 대통령부터 쫄따구까지 모조리 실명깠다. 게시판 관리자님은 '나는 국민에게 충성하는 공무원이다'는 자부심과 긍지를 가지고 그 누가  협박이나 회유를 하더라도 절대로 삭제하지 마세요! 이 글을 보시는 공무원은 자신이 알고 있는 언론사 기자나 더불어민주당 등에 제보해 주세요.


※2025.3.27. 15:58경 '경남도청 열린도지사실' 직원과 통화내용: 


질문1) 권혁철; 도지사에게 바란다 게시판에 하루에도 몇번이나 '성적조작 폭로 글'을 올리는데 담당자가 계속 삭제하고 있으니 이 사실을 박완수 경남도지사님께 보고하세요.


답변1) 열린도지사실 직원; 박완수 경남도지사님은 도지사에게 바란다 게시판에 성적조작 폭로 글을 올리고 담당직원이 계속 삭제한다는 사실을 이미 알고있습니다.


□ 게시글이 허위사실이면 ‘형사처벌’을 달게 받을 예정이오니 ‘대한민국에 정의를 세운다’는 차원에서 절대로 삭제하지 마세요.


□검찰의 사건은폐 수법: 대검찰청 문서감정실 윤기형, 류경숙의 허위감정서 및 창녕군청 시험관리관 박홍곤, 이정희, 서경도의 위증으로 1심, 2심 재판부를 기망하고 대법원 판사님들까지 속이고 사건을 은폐하는데 성공함.


현재, 경남도청은 대법원 판결문을 제시하면서 권혁철은 거짓말을 하고 있다고 우기면서 부정합격자 5명이 고급공무원으로 부귀영화를 누리도록 방치하고 있음.


□박완수 경남도지사님께 공개질문


질문1) 박완수 경남도지사님께서 '도지사에게 바란다' 게시판에 성적조작 폭로 글이 올라오면 즉각 삭제하여 경남도청 공무원 및 경남도민에게 전파되지 않도록 하라고 지시하지는 않으셨지요?


질문2) 지방자치단체장의 고유권한인 ‘합격취소처분’은 ‘공소시효’가 없습니다. 부정합격자 색출하여 ‘합격취소처분’할 용의가 있습니까?


질문3) 부정합격자가 3급, 4급 고위직으로 승진하여 부귀영화를 누린다면 ‘합격취소처분’ 해야 합니까 우리가 남이가를 외치며 모르는척 은폐해야 합니까?


질문4) 97경남 7급 공채 합격자명단과 발령부서 공개하라는 정보공개청구(접수번호:10780318,접수일자:2023.5.22)에서 ‘최종합격자명단의 원본’을 공개하지 않고 ‘새로운 양식의 합격자명단’을 만들어 공개한 이유가 무엇인가요? 세무직 박철희 대신 추가 합격한 수험생을 숨기기 위한 꼼수인가요? (97년 당시 ‘합격자명단’은 경남도청, 시청, 군청, 읍사무소 옥외 게시판에 부착하여 대외적으로 공개했음)


질문5) 97경남 7급 공채 2차 면접시험에 불합격하여 행정소송을 청구한 세무직 박철희 대신 추가 합격한 수험생은 누구이며, 그 추가 합격한 수험생은 성적순으로 11등 한 수험생인가요?


질문6) 합격자 10명 중에서 1등 이정희와 2등 남경수는 4~5년 동안 8급, 9급 공무원 근무 -> 퇴직 -> 7급 공채 합격으로 두 사람의 7급 공채 합격 패턴이 동일합니다. 2명이 근무한 행정기관을 공개하지 못 하고 숨기는 진짜 이유는 혹시 성적조작과 관련이 있기 때문입니까?


질문7) 99년부터 수십 년간 97경남 7급 공채 합격자 10명의 이름은 경남도청, 시청, 군청 등 홈페이지 직원 검색란에서 검색을 하면 존재하지 않았습니다. 부정합격자를 숨기기 위해서 직원 검색에서 차단한 것입니까?


질문8) 합격자 김영곤이 김인수로 개명한 이유는 무엇인가요? 혹시, ‘부정합격자 추적을 피하기 위해서 개명한 것은 아닐까’라는 합리적 의심에 대해 어떻게 생각합니까?


질문9) 합격자 고경우는 1998.1.1.~1999.6.7. 근무하고 퇴직한 것이 사실인가요? 퇴직사유가 성적조작과 관련이 있는 것은 아닌가 조사할 용의가 있습니까?


질문10) 합격자 이주영은 경남도청, 시청, 군청 등 홈페이지 직원검색란에서 존재하지 않습니다. 성적조작과 관련하여 추적을 피하기 위해서 검색을 차단한 것은 아닌가요?


경남도청 도지사에게 바란다 게시판 관리자님!


박완수 경남도지사님께 ‘권혁철이 성적조작 폭로 글을 삭제해도 계속 올려서 곤혹스럽다’고 문서를 작성해서 공식적으로 보고하세요.


그리고 삭제하기 전에 이 글을 반드시 부정합격자로 특정한 3명에게 전달하세요.


ㄱ) 1등 이정희, 2등 남경수; 9급 또는 기능직, 임시직 등으로 4~5년 공직생활하며 경남도청 인사과 배종대 등 고위직과 인맥을 맺었거나 친인척의 권력이나 재산을 이용하여 부정으로 합격했지요?


남경수님 머리가 얼마나 뛰어난지 모르겠지만 제천고 고졸로서 7급 공채시험 합격할려면 뼈를 깍는 노력을 해야 합니다. 당신은 뼈를 깍는 노력을 했습니까 친인척의 권력과 재력으로 부정합격했습니까?


강동원 검사(현변호사.02-533-9600), 정병하 검사(현변호사.02-6326-0097)는 당신이 부정합격자인지 진짜 합격자인지 잘 알고있습니다.


ㄴ) 5등 김영곤; 경상대 농학과 졸업했지요. 농학과면 영어, 수학, 국어 포기하고 합격할 수 있지요?


김영곤님은 학력고사 몇 점이나 받았나요?
서울대, 연대, 고대 합격할 점수인데 특별히 농학에 뜻이 있고 서울에서 대학 다닐 돈이 없어 부득이 집에서 가까운 경상대 농학과를 갔나요?


고노무현님이 부산상고 졸업하고 진영 산속 토굴에서 뼈를 깍는 노력을 해서 사법고시 합격한 것은 모든 국민들이 알고있습니다.


김인수님이 경상대 농학과 입학할 실력으로 7급 공채 합격할려면 정말 피눈물나게 공부했어야 할 것 같은데 그렇게 노력하셨나요?


71년생이 3급 부이사관이면 초고속 승진아닌가요?
71년생이 3급이면 거의 행정고시 출신이나 다름없지요?


김영곤에서 김인수로 개명한 것과 고속승진한 것으로 미루어 판단컨데, 당신이 부정합격자일 가능성이 매우 매우 높아 보입니다.


기분 나쁘면 허위사실유포에 의한 명예훼손죄로 고소하세요.


법원에서 재판하면 또 전부 위증할테고 증거부족으로 실형 징역살이 1년 6월 정도 받겠지요.


부산에서 LH 아파트 경비원으로 일하며 변호사 선임료 550만원은 모았습니다.


만약 고소하면 법정에서 이정희, 남경수, 김인수 3명을 증인으로 신청하겠습니다.


그리고 당신들이 명심해야 할 것이 있습니다.
내가 지옥가서 천벌을 받을 각오만 하면 강동원 검사(강동원법률사무소.02-533-9600), 정병하 검사(한국특수판매공제조합 이사장.02-6326-0097) 찾아가서 얼마든지 부정합격자가 누구다는 자백을 받을 수 있다고 확신합니다.


이제, 내가 감옥소 가거나 지옥에 가더라도 슬퍼해줄 사람이 없다는 점이 나의 유일한 강점입니다.

ㅡ 1부 끝 ㅡ


1부: 박완수 경남도지사님께 공개질문
2부: 97경남 7급 공채 합격자명단 및 근무처, 출신학교 공개
3부: 성적조작 사전모의 정황증거-> 창녕군청 시험관리관 서경도, 이진규의 육성녹음파일 및 성적조작 심층취재 경기신문, 열린공감TV 방송
4부: 윤석열 대통령의 사건은폐 경위 및 대검찰청 문서감정실 윤기형, 류경숙 허위감정서 작성방법
5부: 양심선언 대상자 및 내용 
6부: 경남도청 공무원시험 조작사건 최종보고서",clean
주갤 진짜궁금한점,여자가 그렇게 싫으면 왜 남자끼리안사귐,clean
명진갈먹고싶군,네,clean
오나x을 떠나보내며...,,clean
엉엉,울기,clean
고기먹고싶군,흠,clean
운지,,clean
저녁뭐먹지,,clean
점심뭐먹지,,clean
흐엉,달링달링 워헝,clean
코노,코노야로 아니고 코인노래방,clean
맛잇는거드실분,네,clean
속이뻥,네,clean
놀자고 소리쳐,아아아아아아악!,clean
카나데 재밋네,빨간약은 중요치안아,clean
오늘 이커햄,스킬샷이 이상해요,clean
헬스 같이하자는사람 특,게이임,clean
헬스하는법,헬스장에간다,clean
윤재출마는머여,뇌녹앗나진자,clean
매일 저수지돌사람,어때,clean
용팔이 십새기진짜,쿠팡십새기,clean
랩스한테 운동배우는법,1. 단 샤워실에 들어가,clean
랩스님진지하게 운동좀갈쳐주셈,전 일퀘가 있어야 운동하는타입이에요,clean
아니 근데,진짜 너무 할게없는데 이래돋 되는거임?,clean
머가웃기냐고,네,clean
이건또뮤ㅓ임,"https://youtube.com/shorts/h5sCCY49pW8?si=j3hk2y17er1yOhqL





개쳐웃기노 ㅋㅋㅋ",clean
아아,심심,LABEL_9
속보 렘깨어남,ㄷㄷ,clean
10시부터 그림?,ㄱㄱ?,clean
놀까,오,clean
ㅋㅋ 으악이랑 외팔이 말다툼 개웃기네,ㅋㅋㅋㅋ,clean
님아 ㅈ됨,ㅂㅊ카페 폴라로이드 부모님이봄,clean
탄핵 생각보다 노잼이네,반응이 심심하구만,clean
여름은 어렵다네요,,LABEL_9
랩쮸야,쥬쥬야,clean
오늘윤석열탄핵기념,짜장면이나먹을까,clean
눈물이 앞을 가리긔,ㅠㅠ,clean
윤석열 따운!!!!!!!!!!,초~비~상~,clean
이짤머야,봇치2찍이엇구나,clean
2시간뒤에,랩스와서 궁시렁댈예정,clean
윤카 복귀기원 1일차,대 석 열 사 랑 해,clean
그분 혜안이 맞았네,워홀이든 뭐든 나가야 정답,clean
집애가려했는데,네,clean
언제어디,네,clean
여자되는약 생동성없나,흠,clean
감맘,네,clean
불면증,물면증,clean
응우엔들은 한국워홀안하나,환상품으면 ㅈㄴ웃길거같은데,clean
인생은 고문이다,끝없는 고문,clean
플레이엑스포갈사람,여기붙어라띠리리라라라,clean
고등학교나온고등어,먹어야지,clean
크로니 원칩챌린지,보세요,clean
뭔 버튜버하면서 우을증,걸렷다고 휴식기갖는년은 처맞고싶나,clean
명진갈,먹고싶으신분,clean
최저가믿지마세요,품절이라고 취소됨,clean
만화 명대사,네,clean
안놀아주면 똥싼다,ㅇㅇ,clean
치돈쫄,허버허버드릉드릉,clean
과제한다고 GPT결제 처음했는데 풀발기사정중,인생 손해봤다,clean
저녁뭐먹지,흠,clean
치매인가,방금 비타민 먹엇는지가 기억이 안나,clean
놀자고,네,clean
아 시 발,"부활 물어봣는데 회복인줄 알고 답함
부끄러워졋다",clean
놀자고,오조오억번외침,clean
아니 이 qna 머냐,"락스는 유한락스입니다. - 묻고 답하기 - 락스 사용 후에 세탁해도 되나요?

ㅋㅋㅋㅋㅋㅋㅋㅋㅋ",clean
헬스장갑시다,네,clean
할거찾음,할거찾기,clean
배빵빵,브베배빵빵,clean
언제요,네,clean
카레먹을거면 스타필드가야죠,님한입먹으면기절함,clean
한남성욕은진짜레전드다,ㅉㅉ,clean
코코이찌방야왜주변에없어,가보고싶은데,clean
질병갤 < 개씨발 버러지 영포티들 다모아놨노,퐁퐁이들 마누라한테 못하는 질싸 업소녀한테 대신하고 헤르페스 집단감염 ㅋㅋㅋㅋ,clean
와 알파메일의 삶은 ㄹㅇ 레벨이다르노,첩을 두명이나 들여도 열살 넘게 차이나는 연하녀가 좋다고 매달리네,LABEL_1
놀자,요,clean
유니 고름단에 찍혓네,큰일낫네,clean
마비노기모바일,하셧나요,clean
쪽문공사뭔데,길막오지네,clean
한녀 표독함은 세계제일,남바완다,clean
똥뿌직,네,clean
단지증 < 존나웃기네,ㅅㅂㅋㅋ,LABEL_1
이래도 한국에서 살거야?,대학원 잘 선택햇구만,clean
잡시다,https://youtu.be/wP-kAKqZKSM,clean
저,녁추천,clean
운지마렵노,앰,clean
이게 그 치어리딩 노래,https://www.youtube.com/watch?v=g4wL8XL5uaw,clean
닫는노래,https://www.youtube.com/watch?v=NeaeJ0u3kR0,clean
1가지를 쭉가야되요,네,clean
하꼬방 좀 이리암느낌이네,이리암스럽네,clean
만호야,왜불러,clean
오늘 신규금제,또너프됨ㅅㅂ,clean
사회적문제,"https://youtu.be/nRrvcOVir1Q?si=xmqd8Klj97owPjEB
 일본 이타다키 여자가 사회문제가 된 이유
협소주택 짓는 영상으로 시작했다가..현재는 건축물 한스푼 넣은 이야기 삼매경안협소채널에 가입하여 영상 제작에 힘을 보태주세요 https://www.youtube.com/channel/UCYYqb06Ym3aeubtHFwA4ECg/join구독과 좋아요는 컨텐츠제작에 큰힘이 됩니다. 감...
youtu.be
네",clean
내가임베디드를왜,실험좆같노그냥,clean
어디,네,clean
그래서 감?,언제,clean
와우,,clean
랩스는천재,네,clean
심심하신분,네,clean
세계심심월드컵,우승했습니다.,clean
그래서 감?,아님말고,clean
와 수소폭탄 떨어뜨리는 소리,,clean
오늘인가요,굶어말어,clean
아 몽딩이,믕밍시티의대믕밍이야,clean
바밤바밤밤바,바밤바밤밤바,clean
놀,놀놀놀,clean
아~,이스크림,clean
치매걸리면 벽에똥바르는이유,재밌어서,clean
이세상에 술담배커피가있는이유,그런거였나,clean
놀자,고,clean
백종원 << 요식업의 신인듯,숭배합니다,LABEL_1
와우,와우~,clean
;;,,clean
내 어린시절 우연히,들었던 믿지못할 한마디,clean
이틀만에가고싶어진,이유가멀까요,clean
진짜졸업시키네,실베보고알앗어요,clean
랩쮸야,6장재밋니,clean
님아 애슐리 ㄱ?,,clean
닫는노래,https://www.youtube.com/watch?v=y80KcI36w1M,clean
방본만) 누더기 어쩌고 1-1화,하차했습니다,clean
아니 이게 뭔,줫같은소리야,clean
누더기 투성이 용사 이거 맛있네,"별미네 별미
함무봐라",clean
이거 그거잖아,물수건이랑 물이 나온 그거,clean
シムシム,ね,clean
아 응애에요,응애,clean
심심~~~허다,ㅇㅇ,clean
문득 느낀건데,"뭐든지 일장일단이 있는듯
우린 그래도 대학원 선택의 폭이 우리학교 연고대 설포카까지 있는데
설대나 카이스트 애들이라고 해서 다 자대 원하는랩실 갈수있는거도 아니란걸 생각하면
우린 오히려 선택의 폭이 넓은듯
물론 학부 성대는 운신의 폭이 설카보다 좁긴하지만말야
설카가서 원하는랩실 못가면 자괴감 상당했을듯",clean
ㅋㅋㅋㅋㅋ,의문의 유럽팀 팬,LABEL_5
문명,6하자,clean
심심~~~~허다,ㅇㅇ,clean
여기어때,스이센 광교,clean
혼슐리,네,clean
놀자고,고자놀,clean
아니 율전 피자헛은 1+1 제외네,배짱장사 ㅅㅂ;,clean
아 돈을 벌고싶구나,,clean
주말에 진짜 뭐하냐,할게너무없는데요,clean
2기내용노잼이네,왜하차햇는지기억남,clean
리제로 메이플표절임?,메르스토리뺏겻농?,LABEL_0
놀자잉,잉자놀,LABEL_1
지코바먹고싶네,ㅇㅇ;,clean
롯데리아 프루지오점 < Goat임,절대 성대점을 가지마,clean
랩스,야,LABEL_9
어우 심심해결,"https://m.dcinside.com/board/loan_new1/12309211
 화이트데이 기념 사탕 2행시 선착순 3명 띱. - 대출 갤러리
띱.
m.dcinside.com

만갤 어그로보다 더 재밋어",clean
lp사러같이가줄,그런여자없으려나,clean
너무보고싶어,견디기힘들어,clean
다행이다~,,clean
왜,뭐,clean
일본특),sign을 싱그로 읽음,clean
놀실분,네,clean
아씨~발,이어폰 블투연결 왤케끊김 갑자기,clean
키사키 한섭 이제 실장이네,이미 다 즐겼는데 뒷북오지노,clean
치킨먹어야겟다,애슐리그게뭔데,clean
왜 커피마셧는데,잠이오지,LABEL_1
랩스야,스스야,clean
엥 진짜되네,머지,clean
충격속보,"친구가 히마챗일본 vpn쓰니까된대요

시발",clean
쓰리투원,고~슛,clean
이번학기도 무사히 완주 가능할것같다,근들갑이었구나,clean
재밋다,https://youtu.be/G_XV8x4FFeY?si=a6q8oRGr5JdAWN2u,clean
뭐,왜,clean
이제 창문열고자도되나,되나요,clean
랩쮸쮸야,랩거스야,clean
일본도 페미가 좀 그렇나보네,페미한테 혼나니까 << 이런말을하네요,clean
유튜브로 애슐리봣는데,왤케 싼마이느낌나지,clean
피규어옴,코팅,clean
애슐리가고싶다,갑자기그런생각이드네,clean
아 수업듣기싫어,힝힝,clean
ㅈ같다,랩스같다,clean
방본만)죽지않는스텔라공주,스댕라,clean
"놀,",지못해,clean
랩쮸야,쥬쥬야,clean
랩쮸야,쮸쮸야,clean
에밀리아 저탱이 너무커..,상했노,clean
마히로 피규어 플렉스,3개주문,clean
이직원 위험하다,보추와 퍼리라니,clean
똥,똥,LABEL_9
아 유튜브4배속 끝낫네,세상이 느려지기 시작했다,clean
하고싶은것,휴학,LABEL_8
아니 닛큐나나 게임라이브도하네,그렇내요,clean
발로란트 재도전?,할까생각중,clean
이래서 방화하는구나,불지르는게 재밋구나,clean
내가심심해야할,이유가뭔데,LABEL_0
삶에의욕이없다,"세
상
이
치
가
그
래",clean
졸부가 더 극성이듯이,트젠정병이 더 악랄함,clean
몽딩이,아몽딩이,clean
슬픈소식,푸바오 5성 뽑는데 2천만원 썼는데 1개도 안떳다는 소식,clean
놀자,고,clean
레전드사건발생,,clean
시온도 졸업하네,망햇구나,clean
하아,어제설거지핧걸,clean
잠보~잠보 브와나~,하바리가니~ 은주리싸나~,clean
아아,이스크림,clean
참고로전,"피자먹음

네",clean
랩스근육보고 개기는사람이있을까,네,clean
지금 2025년 최대의 고민중임,"피자시켜먹을지
아니면 설거지하고 라면끓여먹을지

고민이야고민",clean
이거진짜임?,,clean
아 드랍하고싶다,책임없는 쾌락 누리고싶네,clean
모든준비다함,목요일 데뷔합니다,clean
3000원,살까,LABEL_9
아 시 발,자는시간어케고치냐,clean
진짜 쯔꾸르 방송해볼까,너무심심한걸,clean
신입생입니다,네,clean
기숙사 벌점,"주류 들고오다 걸려서 8점이거든 ㅋㅋ;
씨발 첫 개강이고 다음학기 기숙사 안들어가면 안되는데
이거 어케 못하냐
아 2점 더 받을까봐 개무섭네",clean
배고프군,네,clean
말없는거보니,꿀잼맞네,clean
방본만)오르크센 왕국기,개재밋어,clean
새고닉 닉추천좀요,네,clean
리제로 슬슬,작가가 기복이좀있네,clean
님이간게 이런거임?,,clean
만갤이 뭔가,내가원하던분위기,clean
닫는노래,https://www.youtube.com/watch?v=s1myYuQ4-Gw,clean
에혀,슬프군요,clean
너무보고싶다,견디기힘들다,clean
갑장,갑자기 장염,LABEL_9
닫는노래,https://www.youtube.com/watch?v=LYFDYZQCQUY,clean
내일 8시,신청안되면살자함,LABEL_8
치킨마렵네,네,clean
놀자,그거하자그거,clean
삼겹살데이기념,삼겹살먹방,clean
마인크래프트 엔더드래곤잡기,,clean
마크나해볼까,네,clean
백경잡는부분 노잼이노,뭔 1권동안 쳐잡음,clean
25만원배급언제해줌,,clean
온 세상이 억까다,니미,clean
아에이오우 이외에는 안돼,"으랑 어 << 멍청해짐

말그대로 으어",clean
삼겹살데이엔 삼겹살을 먹어야됨,안먹으면 불법임,clean
너무보고싶어 견디기힘들어,런닝맨 보고싶다,clean
트럼프 부정선거임?,"""


어케 존 스미스 이기고 당선됐지",clean
서버망한이유,몬헌하러가버림,clean
쓰봉어디서삼,여긴뭐 슈퍼같은데도 없네,clean
어때,짱재밌어요,clean
이 게임 어떄요,데스크톱에서 동물 키우기,clean
알이 렘보고 람이라한거머임,개소름,clean
택티컬 여초딩 << 이거,이게 그 리코리스 같은거,clean
자전거 하나 사야겟음,더멀어졌어,clean
어디,,clean
멀다,머네,clean
6시,,clean
언제어디,무엇을,clean
오늘한일,태권더박,clean
랩스야,"크루쉬한테 스바루치료맞길때 계약내용 머엿는지 언제나옴

ㅈㄴ궁금스",clean
놉시다,9시다,clean
명진갈가실분,네,clean
님아 매운맛매운맛하더니,진짜매운맛이나와버렸는데요,clean
내일,,clean
머지,학교에서 용돈들어옴,clean
언제,,LABEL_9
언제,,LABEL_9
제발부탁할게,명진갈먹자,clean
님아 코스프레하는사람평균,"'

무서워요",clean
언제,,LABEL_9
랩스쿤,명진갈먹자.,clean
저는 심심할때,대출갤에 선착순 글을 써요,clean
근데 고기얘기해서,너무너무너무먹고싶은데,clean
성소수자동아리도 모집하네,,clean
못참겠다,극대노,clean
명진갈먹자고,네,clean
4권스바루개패고싶노,왜이래얘,clean
한달에 한번 요리의날을 만들어야겟어,폼나는그런,clean
랩스 리제로나온거다봄?,ㅇㅇ,clean
뭔 근터여,오늘은 밖에 안나가는날임,clean
명륜진사갈비 무려 19900이네,아쉬워~라~,clean
18975,,clean
무한으로즐겨요,율전진사갈비,LABEL_8
설마 새터갔나,그건아니겟지?,clean
툴파갤도잇어,ㅈㄴ웃기네,clean
이거어때,"https://m.dcinside.com/board/singlebungle1472/1681387
 싱글벙글 싱붕이 상상친구로 모쏠아다탈출했다..jpg - 싱글벙글 지구촌 마이너 갤러리
https://m.dcinside.com/board/singlebungle1472/904250 신기신기 상상친구를 만드는 수련법.araboja - 싱글벙글 지구촌 마이너 갤러리https://gall.dcinside.
m.dcinside.com",clean
그래서 감맘,네,clean
네?,네,LABEL_9
사람이개많음,겁나많아,clean
오늘은어때요,셋이서,clean
언제,,LABEL_9
랩스쿤,고기먹자,clean
존나귀엽구만,,clean
치킨어디꺼먹지,고민,clean
아어카지,오카네가나인다,clean
아니 무슨 순애만화에서,개끼리 야스하는걸 볼줄은 몰랏네;,clean
천황생일 << 이거 공휴일이구나,윤석열생일은 공휴일 안하나,LABEL_1
이거진짜임?,ㄷㄷ,clean
서버부활,이거거든~~~~~~~~~,clean
돌돌롤?,롤?,clean
아할게없다할게없어,"재밋는게임은다옛날거라
망햇거나 질렷거나",clean
도파썰 레전드네,님이말한게 창고썰임?,clean
심심하면 연애를하세요,님선,clean
진짜 하나도 뭔지 모르겟네,https://youtu.be/AtOEKUroRVE?si=yn9kz_pfT7NDT9k0,clean
1권드디어다봣네,번역욕이많네요,clean
악마 여신 << 2025년은 이 만화가 히트하겟군,,clean
ㅅㅂ,ㅅㅂ,clean
심심,하다,LABEL_9
심심,하다,LABEL_9
뭐지,"왜 계속 서버 안파져잇는거임

망햇나진짜",clean
치킨,먹,clean
영등포,네,LABEL_9
님아 근데 헬스장감?,"화학관밑이면 어디로감
다멀잖아",clean
님아3시간짜리방잇는데,궁금하죠,clean
유동분신술 뭐임,실명제실시하라,clean
와 진짜네,3번째,clean
甘い物が食べたいんだよ,모몽가명대사,clean
현재 시각 4시 54분,그곳에 두명이 서있다..,clean
일본에서도,チルい라는말이잇네,clean
슬슬,슬슬?,clean
1인분이 1키로였어?,200g 가스라이팅이엇음?,clean
오나홀 << 이거 어떡하지,"버리긴 아쉽고 안버리자니 걸리적거리고
자기 역할에는 충실한 친구인데",LABEL_1
심심한데,요,clean
이게 그거구나,,clean
마크 시시티비 방송은 머지,그걸 9.6천명이나,clean
놀,장게,clean
이거 이러면 게임을 어케함?,https://youtu.be/PG0tuHd98VY,clean
만보걷기 원래 ㅈ밥인가,먼 밥처먹을때만걷는데 8천걸음이래,clean
배고파죽겠다,1초라도 빨리 먹고싶어,clean
살짝이느낌,네,clean
오예오예,,clean
버의길을 걸어야하나,랩스럽네,LABEL_1
디시도 슬슬,네,clean
아무무,,clean
어과초 4기 행복하네,,clean
오늘 올라온 가라오케 방송,모브캐들임?,clean
싱글벙글 VR.gif,,clean
아.,서버가안열렸어,clean
놀.,이공원,clean
크아아아악,,clean
쿠키 충전해 말어,고민 500배,LABEL_8
일본인도 어려워서 공략보는데,저런거까지 따라해야하나,clean
실베에 이런글이잇네요,https://m.dcinside.com/board/dcbest/305812,clean
리제로 정주행해볼까,예전에 하다가 문장너무유치해서 포기한거같은데,clean
어우배고파사발,예상답변) 사발면,clean
이왜진,,LABEL_9
어우배불러,,clean
어우배고파,네,clean
근데어디로가야함,어디로가야하오,clean
11시반?,,clean
야.,호,clean
소워일섭은,vpn필요없나봐요,clean
랩스님아,방구드셈 뿡,clean
랩스님아,젠존제일섭어케함,clean
놀실분,,clean
놀자고이년아,네,clean
근데님 일본노래부르러감?,난부끄러워서못가겟던데,clean
tj 만찬가뜸,쨔스!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,clean
지듣노,https://www.youtube.com/watch?v=7jBoRRAk6EQ,clean
야.,놀자초특급야놀자,clean
아 플러리 실망이네,독거노총각인줄 알았는데 장난하냐고 ㅇㅇ;,clean
아오,심심해라,clean
무려 리글로스도 카드가 나왓다네요,네,clean
럽라레전드사건발생,ㅋㅋ,clean
사전수강 << 있는이유가머지,도대체몰라,clean
일하면 일본,이하면 이란,clean
놀,자,clean
심심스,네,clean
여기뭐하는갤임,다,clean
진세이와 이치도키리난다,https://www.youtube.com/watch?v=lT_RqV4oUr0,clean
문7 문재인급이라네요,문겜,clean
치이카와보셈,꿀좸스,clean
질문에 넣고싶네,구경이라도 좀 해보자,clean
질문 급함,공학계열 과외하면 시급 얼마정도 받음?,clean
질문 있음,여자랑 스몰토크 어케함,clean
하,배불러터지겟다,clean
미야우미어,https://www.youtube.com/watch?v=BaqKgdtJi0U,clean
님아,이쁘죠,clean
놀자며,,clean
님아,,LABEL_9
님아,아이폰임?,clean
뿌직,,clean
와 스매쉬 개잘하네,이유가 있어 이유가,clean
음 그래그래,1팩에 전부 레어카드야,clean
젠존제,코스프레한 리유,clean
근데 뭔가,꼴리는 캐릭이 없어,clean
젠존제 젖보똥 좆되네,원신같은 유아게임 바로지움 ㅇㅇ,clean
감자깎다가,손가락도 깎앗어 아파,clean
이게 논란이라는데,그정도로 안씻나,clean
명절시발,제발그만,clean
젠존제 시작함,"https://youtu.be/8JocmAlZ3nY?si=
-Ifnk62Jtit9S5A7




이 짱깨년 바이럴땜에 안되겠음",clean
밴인듯,"일본계정으로 리뷰보면 새로운리뷰계속달림

광고많다이런거",LABEL_1
이쁘네요,한ㄴ보다이쁘네,clean
맥북에어 팔아야겠다,사요나라,clean
벽느낌,하나도못알아드릉,LABEL_1
아 요즘 씹덕겜 여캐들 존나꼴리네,겜하긴싫은데 ㅇㅇ;,clean
아 요즘 씹덕겜 여캐들 존나꼴리네,겜하긴싫은데 ㅇㅇ;,clean
님이 말한거 이거임?,"【一気に追いつこう！】104期 活動記録(3Dアニメストーリー) 同時視聴会 第4回（104期 第8〜9話）【2025年も蓮ノ空！】

머 실제 연기한다 그런 얘기 했던거같은데 이거 맞음?",clean
님아 이걸로 한자공부 ㄱㄱ,,clean
카제가후이타노,하게시이카제니사라와레타이,clean
놀사람,선착순 99명,clean
1공 2공사이 구름정원 정상화당했네,ㅋㅋ,clean
율전 존나춥네,아,clean
머라고하셧죠,못봄,clean
놀장께,,clean
존나 오랜만에 왓어용,내가 벌써 졸업반이라니...ㅠ,clean
미국은 ai인프라 깐다고 에너지 발전 저장 다 난리인데,"개조센은 맨날 반도체 메모리 타령만 하고있음 ㅇㅇ;
미개국다운발상임",clean
이리암삭제,딸깍,clean
제1의아해가심심하다고그러오,그러오,clean
걍앱터진듯?,ㅇㅇ,clean
근데 님만 그런게 아닌가봐,그렇다네요,clean
설마 해외막은건가,흠,clean
미츠보시 팟테 하지케테,토비놋테 류세이,clean
히마챗 왜래안돼시발,개새기야,clean
성균관대 건물 수준 ㅋㅋ,이거 판자촌.벽돌공장도 아니고 심하노ㅋㅋ,clean
놀체?,네,clean
히마챗왜안돼,왜,clean
근데사실 리얼월드에서 뭔일이일어나든,내가잇는팰월드랑뭔상관임,clean
집에 액자 준비해둬야겠다,셰셰,clean
히마챗안들어가짐,밴당한걸까시라,clean
페코라가 poe함,약간디아블로같내요,clean
놀장께,,clean
일본인꼬셔서 쓰리썸점,모솔아다초대남대기중,clean
스팀일본친구가 3명이되엇어요,네,LABEL_1
ㄴㄹ자고,놀,clean
님아 마듀함,스바루가,clean
개새기들아,,LABEL_9
아니성대 최초합발표한지 한참지났네,추합뜨기전에 방구하러 가야겠는걸,clean
디시이줫병신련,왜댓글만쓰면렉걸림,clean
뭔가 있어보이는 방법,"시간말할때
한국시간으로 x시라고하면댐",clean
체포하든말든,일본을가,LABEL_9
기어이체포를하는구나,역풍이분다이~,clean
.,,LABEL_9
두비두,아원츄아니쥬,clean
ㅇㅇ,,LABEL_9
테스트,,clean
나 들어오자마자 프로필읽고 럽라노래불름,ㅁㅊ무서워,clean
리얼돌보단 vr에 대형오나홀조합이나을지도,흠..,clean
아 나는 쫄려서 못누르겟다,마음의준비가안도ㅑ,clean
님아 좀 하고,저한테꿀팁좀요,clean
